Site,Date,State,County,PlantKingdom,PlantPhylum,PlantClass,PlantOrder,PlantFamily,PlantGenus,PlantGenusSpecies,Order,MiscGroup,Family,SubFamily,Tribe,Genus,Species,SubSpecies
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio jacobaea,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,titusi,Lasioglossum titusi
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Sarcophagidae,,,,MS1,Sarcophagidae MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio jacobaea,Diptera,,Syrphidae,,,,,Syrphidae
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio jacobaea,Diptera,,Syrphidae,,,,,Syrphidae
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,arbustorum,Eristalis arbustorum
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,arbustorum,Eristalis arbustorum
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,arbustorum,Eristalis arbustorum
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio jacobaea,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,arbustorum,Eristalis arbustorum
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Diptera,,Syrphidae,Eristalinae,Eristalini,Eristalis,hirta,Eristalis hirta
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,Diptera,,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,MS1,Sphaerophoria MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,Diptera,,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,MS1,Sphaerophoria MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Diptera,,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,MS1,Sphaerophoria MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Diptera,,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,MS1,Sphaerophoria MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Tachinidae,Phasiinae,,Gymnosoma,MS1,Gymnosoma MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio jacobaea,Diptera,,Tachinidae,Tachininae,,Tachina,latianulum,Tachina latianulum
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Diptera,,,,,,,Diptera
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio jacobaea,Hemiptera,,,,,,,Hemiptera
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Crabronidae,,Cercerini,Cerceris,MS1,Cerceris MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Crabronidae,,Cercerini,Cerceris,MS1,Cerceris MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Crabronidae,,,,MS1,Crabronidae MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Crabronidae,,Cercerini,Cerceris,MS1,Cerceris MS1
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Hymenoptera,Anthophila,,,,,,Anthophila
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Hymenoptera,Anthophila,,,,,,Anthophila
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis setosa,Hymenoptera,Anthophila,,,,,,Anthophila
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Jefferson Farm,05-Jul-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia elegans,,,,,,,,
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Zeltnera,Zeltnera muhlenbergii,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,vosnesenskii,Bombus vosnesenskii
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Apidae,Apinae,Eucerini,Melissodes,MS1,Melissodes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Coleoptera,,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septumpunctata,Coccinella septumpunctata
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Coleoptera,,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septumpunctata,Coccinella septumpunctata
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Coleoptera,,,,,,,Coleoptera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Lasioglossum,MS1,Lasioglossum MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Bombyliidae,,,,MS1,Bombyliidae MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Megachilidae,Megachilinae,Megachilini,Megachile,MS1,Megachile MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Megachilidae,Megachilinae,Megachilini,Megachile,pascoensis,Megachile pascoensis
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Hymenoptera,Anthophila,Megachilidae,Megachilinae,Megachilini,Megachile,MS1,Megachile MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,,Megachilidae,,,Megachile,nr inermis,Megachile nr. Inermis
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Megachilidae,Megachilinae,Osmiini,Osmia,nemoris,Osmia nemoris
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,,Megachilidae,,,Osmia,regulina,Osmia regulina
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Megachilidae,Megachilinae,Osmiini,Osmia,nemoris,Osmia nemoris
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Syrphidae,Eristalinae,Eristalini,Mallota,MS1,Mallota MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,MS1,Sphaerophoria MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Diptera,,Syrphidae,Eristalinae,Milesiini,Syritta,MS1,Syritta MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Diptera,,Syrphidae,Eristalinae,Milesiini,Syritta,MS1,Syritta MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,Anthophila,Megachilidae,Megachilinae,Megachilini,Megachile,pascoensis,Megachile pascoensis
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,Clarkia purpurea,Diptera,,Syrphidae,Syrphinae,Toxomerini,Toxomerus,MS1,Toxomerus MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Vespidae,,,Polistes,MS1,Polistes MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Vespidae,,,Polistes,MS2,Polistes MS2
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,,Vespidae,,,Polistes,MS6,Polistes MS6
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,,Vespidae,Eumeninae,,Stenodynerus,MS1,Stenodynerus MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Vespidae,,,Vespula,MS1,Vespula MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Hymenoptera,,Vespidae,,,Vespula,MS1,Vespula MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Coleoptera,,Coccinellidae,,,,MS3,Coccinellidae MS3
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Coleoptera,,Meloidae,,,,MS1,Meloidae MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Coleoptera,,Meloidae,,,,MS1,Meloidae MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Coleoptera,,Meloidae,,,,MS1,Meloidae MS1
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,Coleoptera,,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septumpunctata,Coccinella septumpunctata
Bald Hill,08-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha pulegium,Diptera,,Bombyliidae,,,,MS2,Bombyliidae MS2
Bald Hill,11-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,californicus,Bombus californicus
Bald Hill,11-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,californicus,Bombus californicus
Bald Hill,11-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,vosnesenskii,Bombus vosnesenskii
Bald Hill,11-Jul-19,OR,Benton,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,Gilia capitata,Diptera,,Syrphidae,Syrphinae,Syrphini,Eupeodes,MS1,Eupeodes MS1
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,mellifera,Apis mellifera
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine penduliflora,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Coleoptera,,,,,,,Coleoptera
Fisher Butte,17-Apr-20,OR,Lane,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alismifolius,Coleoptera,,,,,,,Coleoptera
